codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente,grupo
,,,,,1.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,45.0,,1.9,1.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,78.0,,3.3,5.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,99.0,,5.5,6.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,71.0,,1.1,4.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,520.0,,9.6,31.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,57.0,,3.1,2.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,57.0,,3.1,2.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,44.0,,3.2,1.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,489.0,,25.8,24.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,370.0,,35.5,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,328.0,,8.0,8.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,758.0,,0.5,84,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,246.0,,6.6,22.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,104.0,,11.5,4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,82.0,,13.7,0.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,182.0,,14.1,14,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,309.0,,20.3,25.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,287.0,,20.1,23,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,282.0,,23.6,19.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,302.0,,19.7,22.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,291.0,,20.8,21.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,260.0,,18.0,20.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,324.0,,21.8,26.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,301.0,,20.4,22.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,357.0,,29.5,26.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,328.0,,25.9,24.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,340.0,,24.3,33.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,480.0,,21.6,43.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,379.0,,28.6,29.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,345.0,,25.1,27.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,410.0,,24.8,34.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,426.0,,19.2,38.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,404.0,,28.6,31.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,358.0,,21.8,30.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,345.0,,25.5,27,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,332.0,,25.4,25.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,402.0,,29.7,31.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,350.0,,32.7,24.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,391.0,,32.1,29.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,365.0,,33.4,24.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,402.0,,30.0,29.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,357.0,,29.4,26.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
